-1,2.79717E-02,2.65834E-02,2.51795E-02,2.23421E-02,1.37519E-02,6.70439E-03,0.00000E+00
-0.9,3.01802E-02,2.87427E-02,2.72763E-02,2.42824E-02,1.50370E-02,7.32793E-03,0.00000E+00
-0.8,3.14478E-02,3.00707E-02,2.86411E-02,2.56621E-02,1.60962E-02,7.85504E-03,0.00000E+00
-0.7,3.43839E-02,3.30557E-02,3.16407E-02,2.86060E-02,1.83142E-02,9.00263E-03,0.00000E+00
-0.6,3.91308E-02,3.78910E-02,3.65135E-02,3.34278E-02,2.20977E-02,1.10619E-02,0.00000E+00
-0.5,4.56379E-02,4.46171E-02,4.33840E-02,4.04032E-02,2.80086E-02,1.45143E-02,0.00000E+00
-0.4,5.35113E-02,5.29854E-02,5.21410E-02,4.96862E-02,3.68540E-02,2.02308E-02,0.00000E+00
-0.3,6.15420E-02,6.19914E-02,6.19786E-02,6.08863E-02,4.96165E-02,2.98277E-02,0.00000E+00
-0.2,6.69562E-02,6.90564E-02,7.04996E-02,7.20372E-02,6.66970E-02,4.63006E-02,0.00000E+00
-0.1,6.55296E-02,7.00041E-02,7.34324E-02,7.85904E-02,8.44628E-02,7.36110E-02,0.00000E+00
0,5.17485E-02,6.17096E-02,6.80163E-02,7.74665E-02,9.39979E-02,9.74837E-02,7.93126E-02
0.1,0.00000E+00,2.24949E-02,3.95181E-02,6.26530E-02,9.62543E-02,1.08718E-01,1.08189E-01
0.2,0.00000E+00,1.31007E-02,2.53401E-02,4.67729E-02,9.15916E-02,1.13815E-01,1.24212E-01
0.3,0.00000E+00,1.01943E-02,2.02703E-02,3.94722E-02,8.74675E-02,1.16620E-01,1.35712E-01
0.4,0.00000E+00,9.52906E-03,1.90677E-02,3.77703E-02,8.83323E-02,1.22503E-01,1.48268E-01
0.5,0.00000E+00,1.02637E-02,2.05023E-02,4.06492E-02,9.64183E-02,1.35817E-01,1.67516E-01
0.6,0.00000E+00,1.25293E-02,2.49095E-02,4.90656E-02,1.15336E-01,1.62230E-01,2.00701E-01
0.7,0.00000E+00,1.74171E-02,3.44152E-02,6.70811E-02,1.53982E-01,2.13563E-01,2.61672E-01
0.8,0.00000E+00,2.85622E-02,5.60204E-02,1.07697E-01,2.38486E-01,3.22550E-01,3.86921E-01
0.9,0.00000E+00,6.16331E-02,1.19763E-01,2.26124E-01,4.76103E-01,6.19703E-01,7.17745E-01
1,0.00000E+00,3.28124E-01,6.29065E-01,1.15632E+00,2.24839E+00,2.74147E+00,2.97766E+00
